Ticker,Model,Last Updated,entry_date,entry_price,exit_date,exit_price,pnl
BRITANNIA.NS,Decision Tree,2025-08-11 01:15:17,2025-02-28,4536.005859375,2025-04-08,5112.3525390625,576.3466796875
ULTRACEMCO.NS,Decision Tree,2025-08-11 01:15:29,2025-02-28,10064.6533203125,2025-06-27,12136.0732421875,2071.419921875
